'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'84;'19342813113834066795298816;'21090315766411506144426920;'38685626227668133590597631;'39;'822522314890048739632649880;'0,000000000;'444801419126945763414470061179898831960116249493504;'0;'84;'3;'1747502652577439349128104;'1000101110010000011000100111100000001100011010101000110111000110011101011101110101000;'1747502652577439349128104;'17595310461256627446170711;'0,09034;'ímpar;'0;'29014219670751100192948224,000;'29014219670751100192948223;'29014219670751100192948224;'85,000;'21090315766411506144426920;'29014219670751100192948223;'7923903904339594048521303;'-21090315766411506144426921;'42180631532823012288853840;'10545157883205753072213460;'19342813113834341673205759;'38685626227597764846419968
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'89;'618970019642690137449562112;'868012190417726402719548863;'1237940039285380274899124223;'43;'37324524187962235316940601109;'0,000000000;'753445162713779317408873290310155768436114037304983552;'0;'89;'0;'249042170775036265269986751;'101100111000000000101110110010000100110110101001000100010111000111000111101000010110111111;'249042170775036265269986751;'369927848867653872179575360;'0,40235;'ímpar;'0;'928455029464035206174343168,000;'928455029464035206174343167;'928455029464035206174343168;'90,000;'868012190417726402719548863;'928455029464035206174343167;'60442839046308803454794304;'-868012190417726402719548864;'1736024380835452805439097726;'434006095208863201359774431;'618970019642694535496073215;'1237940039285239537410768896
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
